154	FIKFX	Oct 20, 2017	11.92	Jul 24, 2017	11.79	1.102623	11.93	-0.08382416
155	VPAIX	Oct 20, 2017	11.66	Jul 24, 2017	11.53	1.1274948	11.66	0.0
156	FPURX	Oct 20, 2017	22.97	Jul 24, 2017	22.71	1.1448746	22.86	0.4811859
157	FPUKX	Oct 20, 2017	22.95	Jul 24, 2017	22.69	1.145874	22.84	0.4816208
158	ROOF	Oct 20, 2017	27.34	Jul 24, 2017	27.03	1.1468735	27.7	-1.2996445
159	FRIFX	Oct 20, 2017	12.29	Jul 24, 2017	12.15	1.1522675	12.33	-0.32440948
160	VCITX	Oct 20, 2017	12.22	Jul 24, 2017	12.08	1.1589432	12.22	0.0
161	FFVNX	Sep 06, 2017	10.45	Jun 07, 2017	10.33	1.1616592	10.45	0.0
162	FEDFX	Sep 06, 2017	10.42	Jun 07, 2017	10.3	1.1650467	10.42	0.0
163	FIAFX	Oct 20, 2017	11.27	Jul 24, 2017	11.14	1.1669617	11.3	-0.26548767	*BT*
164	FFKFX	Sep 13, 2017	17.17	Jun 14, 2017	16.97	1.1785507	17.14	0.17503357
165	JNK	Oct 20, 2017	37.32	Jul 24, 2017	36.88	1.1930618	37.18	0.37654877
166	SJNK	Oct 20, 2017	27.97	Jul 24, 2017	27.64	1.1939163	27.85	0.43087006
167	FSPHX	Oct 20, 2017	233.96	Jul 24, 2017	231.19	1.1981506	232.34	0.697258
168	USATX	Oct 20, 2017	13.38	Jul 24, 2017	13.22	1.2102814	13.37	0.074790955
169	FTABX	Oct 20, 2017	11.61	Jul 24, 2017	11.47	1.2205734	11.6	0.0861969
170	FKTHX	Sep 13, 2017	17.15	Jun 14, 2017	16.94	1.2396698	17.12	0.1752243
171	FSNGX	Oct 20, 2017	23.56	Jul 24, 2017	23.27	1.2462387	23.88	-1.3400345
172	FIRMX	Oct 20, 2017	58.0	Jul 24, 2017	57.28	1.2569885	58.11	-0.18930054
173	FIRNX	Oct 20, 2017	57.95	Jul 24, 2017	57.22	1.2757797	58.06	-0.18946075
174	FFFAX	Oct 20, 2017	11.89	Jul 24, 2017	11.74	1.2776871	11.91	-0.16792297
175	FSCPX	Oct 20, 2017	39.26	Jul 24, 2017	38.76	1.2899857	39.29	-0.07636261
176	FHIGX	Oct 20, 2017	13.28	Jul 24, 2017	13.11	1.2967224	13.28	0.0
177	FBIOX	Oct 20, 2017	227.58	Jul 24, 2017	224.53	1.3583908	231.35	-1.62957	*P*
178	FPIOX	Oct 20, 2017	9.68	Jul 24, 2017	9.55	1.3612595	9.68	0.0
179	FSICX	Oct 20, 2017	11.16	Jul 24, 2017	11.01	1.3623962	11.17	-0.089523315
180	FSRIX	Oct 20, 2017	12.62	Jul 24, 2017	12.45	1.3654556	12.63	-0.07917786	*BT*
181	YAFFX	Oct 20, 2017	22.26	Jul 24, 2017	21.96	1.366127	22.21	0.22512817
182	IBB	Oct 20, 2017	331.8	Jul 24, 2017	327.22	1.3996582	336.38	-1.361557
183	FIROX	Oct 20, 2017	59.08	Jul 24, 2017	58.26	1.4074936	59.18	-0.16897583
184	FIRPX	Oct 20, 2017	58.35	Jul 24, 2017	57.53	1.4253387	58.44	-0.15400696
185	FBCVX	Oct 20, 2017	18.94	Jul 24, 2017	18.66	1.500534	18.75	1.0133362	*P*
186	JDD	Oct 20, 2017	12.85	Jul 24, 2017	12.66	1.5007935	12.9	-0.3875885	*P*
187	REACX	Oct 20, 2017	29.07	Jul 24, 2017	28.63	1.53685	29.42	-1.1896667
188	FTANX	Oct 20, 2017	11.16	Jul 24, 2017	10.99	1.5468597	11.18	-0.17889404
189	FFKHX	Sep 13, 2017	17.93	Jun 14, 2017	17.65	1.5864029	17.9	0.16759491
190	FFKGX	Sep 13, 2017	17.78	Jun 14, 2017	17.5	1.6000061	17.76	0.11261749
191	VWAHX	Oct 20, 2017	11.42	Jul 24, 2017	11.24	1.6014252	11.42	0.0
192	FFANX	Oct 20, 2017	11.71	Jul 24, 2017	11.52	1.6492996	11.73	-0.17050171
193	SPHIX	Oct 20, 2017	9.04	Jul 24, 2017	8.89	1.6872864	9.02	0.22172546
194	FFSTX	Sep 06, 2017	17.44	Jun 07, 2017	17.15	1.6909714	17.44	0.0
195	FIRQX	Oct 20, 2017	56.89	Jul 24, 2017	55.93	1.7164383	56.97	-0.14042664
196	FFIVX	Oct 20, 2017	12.36	Jul 24, 2017	12.15	1.7283936	12.38	-0.16155243	*BT*
197	FHIFX	Oct 20, 2017	8.78	Jul 24, 2017	8.63	1.738121	8.77	0.11401367
198	FJIFX	Oct 20, 2017	13.45	Jul 24, 2017	13.22	1.7397919	13.45	0.0
199	FCSFX	Sep 06, 2017	5.23	Jun 07, 2017	5.14	1.7509689	5.23	0.0
200	FFFVX	Oct 20, 2017	12.7	Jul 24, 2017	12.48	1.7628174	12.72	-0.15723419
201	FIRRX	Oct 20, 2017	53.33	Jul 24, 2017	52.4	1.7748108	53.39	-0.11238098
202	FSTCX	Oct 20, 2017	67.91	Jul 24, 2017	66.7	1.8141022	67.94	-0.044158936
203	IAU	Oct 20, 2017	12.3	Jul 24, 2017	12.08	1.8211975	12.54	-1.9138718
204	FVDFX	Oct 20, 2017	28.07	Jul 24, 2017	27.54	1.924469	27.81	0.93491364
205	GLD	Oct 20, 2017	121.61	Jul 24, 2017	119.31	1.9277573	123.82	-1.7848511
206	BULIX	Oct 20, 2017	18.49	Jul 24, 2017	18.14	1.9294357	18.32	0.927948
207	FWRLX	Oct 20, 2017	9.91	Jul 24, 2017	9.72	1.9547195	9.94	-0.30181122	*P*
208	MNBAX	Oct 20, 2017	18.22	Jul 24, 2017	17.87	1.9585876	18.27	-0.27368164
209	FVDKX	Oct 20, 2017	28.08	Jul 24, 2017	27.54	1.9607773	27.82	0.93457794
210	FSHNX	Oct 20, 2017	9.78	Jul 24, 2017	9.59	1.9812241	9.76	0.20491028
211	FIUIX	Oct 20, 2017	26.9	Jul 24, 2017	26.37	2.0098572	26.71	0.7113495
212	FIRSX	Oct 20, 2017	54.01	Jul 24, 2017	52.93	2.0404205	54.05	-0.07400513
213	PAUDX	Oct 20, 2017	8.97	Jul 24, 2017	8.79	2.0477905	9.02	-0.5543213
214	PRHSX	Oct 20, 2017	74.92	Jul 24, 2017	73.38	2.098671	74.17	1.0111923
215	FASMX	Oct 20, 2017	18.47	Jul 24, 2017	18.09	2.1006012	18.48	-0.054115295
216	FFFCX	Oct 20, 2017	16.29	Jul 24, 2017	15.95	2.131668	16.3	-0.061340332
217	FCIFX	Oct 20, 2017	12.9	Jul 24, 2017	12.63	2.1377716	12.91	-0.07746124	*BT*
218	FKIFX	Oct 20, 2017	14.32	Jul 24, 2017	14.02	2.1397934	14.32	0.0
219	FDVLX	Oct 20, 2017	122.73	Jul 24, 2017	120.14	2.1558151	122.12	0.49951172
220	YACKX	Oct 20, 2017	23.97	Jul 24, 2017	23.46	2.173912	23.86	0.46102142
221	FIRUX	Oct 20, 2017	58.66	Jul 24, 2017	57.41	2.1773224	58.7	-0.06814575
222	FVLKX	Oct 20, 2017	122.92	Jul 24, 2017	120.3	2.1778793	122.31	0.49873352
223	FNORX	Oct 20, 2017	53.88	Jul 24, 2017	52.72	2.2003021	54.27	-0.7186279	*P*
224	FSDIX	Oct 20, 2017	15.7	Jul 24, 2017	15.36	2.2135391	15.68	0.12754059
225	VWINX	Oct 20, 2017	26.87	Jul 24, 2017	26.27	2.2839813	26.89	-0.07437134
226	FNMIX	Oct 20, 2017	16.44	Jul 24, 2017	16.07	2.3024292	16.5	-0.3636322
227	FNJHX	Oct 20, 2017	11.95	Jul 24, 2017	11.68	2.3116379	11.94	0.08375549
228	FIRVX	Oct 20, 2017	52.29	Jul 24, 2017	51.09	2.348793	52.32	-0.05734253
229	FDCPX	Oct 20, 2017	91.85	Jul 24, 2017	89.74	2.3512344	91.7	0.16358185
230	PASDX	Oct 20, 2017	12.13	Jul 24, 2017	11.85	2.3628693	12.17	-0.32867432
231	POGSX	Oct 20, 2017	64.08	Jul 24, 2017	62.54	2.4624252	63.71	0.5807648
232	FSLSX	Oct 20, 2017	43.74	Jul 24, 2017	42.68	2.4836044	43.5	0.5517273
233	FFVIX	Oct 20, 2017	13.14	Jul 24, 2017	12.82	2.4961014	13.14	0.0	*BT*
234	FFVFX	Oct 20, 2017	13.53	Jul 24, 2017	13.2	2.5	13.54	-0.07385254
235	FSCRX	Oct 20, 2017	32.15	Jul 24, 2017	31.36	2.5191345	31.97	0.56303406
236	FIRWX	Oct 20, 2017	58.84	Jul 24, 2017	57.39	2.5265656	58.85	-0.016990662
237	FIXRX	Oct 20, 2017	53.91	Jul 24, 2017	52.58	2.52948	53.92	-0.018539429
238	FVSKX	Oct 20, 2017	43.74	Jul 24, 2017	42.66	2.5316467	43.5	0.5517273
239	FLIFX	Oct 20, 2017	14.96	Jul 24, 2017	14.59	2.5359879	14.95	0.0668869
240	FLSAX	Oct 20, 2017	44.4	Jul 24, 2017	43.29	2.5641098	44.18	0.49796295
241	RFV	Oct 20, 2017	65.57	Jul 24, 2017	63.91	2.5974045	65.03	0.83039093
242	GWX	Oct 20, 2017	35.1	Jul 24, 2017	34.21	2.6015778	35.44	-0.95936584
243	PRPFX	Oct 20, 2017	41.1	Jul 24, 2017	40.05	2.6217194	41.43	-0.79652405
244	VICEX	Oct 20, 2017	31.05	Jul 24, 2017	30.24	2.6785736	30.88	0.55052185
245	FDIFX	Oct 20, 2017	14.18	Jul 24, 2017	13.81	2.6792145	14.18	0.0	*BT*
246	JPS	Oct 20, 2017	10.31	Jul 24, 2017	10.04	2.6892395	10.37	-0.5785904	*P*
247	PRMTX	Oct 20, 2017	95.99	Jul 24, 2017	93.43	2.7400131	96.06	-0.07287598
248	OWSMX	Oct 20, 2017	17.53	Jul 24, 2017	17.06	2.7549896	17.53	0.0
249	FFFDX	Oct 20, 2017	16.67	Jul 24, 2017	16.22	2.7743607	16.67	0.0
250	RYU	Oct 20, 2017	88.72	Jul 24, 2017	86.32	2.7803574	88.09	0.7151871	*P*
251	FPIFX	Oct 20, 2017	15.7	Jul 24, 2017	15.27	2.8159714	15.69	0.06374359
252	FEDCX	Oct 20, 2017	10.46	Jul 24, 2017	10.17	2.8515244	10.47	-0.09551239
253	FSANX	Oct 20, 2017	12.61	Jul 24, 2017	12.26	2.8548126	12.61	0.0
254	FITWX	Oct 20, 2017	14.13	Jul 24, 2017	13.73	2.91333	14.13	0.0	*BT*
255	QQQ	Oct 20, 2017	148.71	Jul 24, 2017	144.45	2.9491196	148.34	0.24943542
256	FGBLX	Oct 20, 2017	25.71	Jul 24, 2017	24.97	2.9635544	25.75	-0.1553421
257	FSUTX	Oct 20, 2017	84.76	Jul 24, 2017	82.31	2.9765625	84.31	0.5337448
258	FFTWX	Oct 20, 2017	14.43	Jul 24, 2017	14.01	2.9978638	14.42	0.06934357
259	FSCOX	Oct 20, 2017	18.45	Jul 24, 2017	17.91	3.0150757	18.66	-1.1253967
260	RWJ	Oct 20, 2017	68.05	Jul 24, 2017	66.05	3.0280151	67.49	0.8297577
261	FQIFX	Oct 20, 2017	16.65	Jul 24, 2017	16.16	3.0321732	16.63	0.120269775
262	AGTHX	Oct 20, 2017	50.61	Jul 24, 2017	49.11	3.054367	50.4	0.4166565
263	POAGX	Oct 20, 2017	41.35	Jul 24, 2017	40.12	3.0658035	41.27	0.19384766
264	JPC	Oct 20, 2017	10.61	Jul 24, 2017	10.29	3.1098099	10.56	0.4734726
265	EEMV	Oct 20, 2017	59.27	Jul 24, 2017	57.48	3.114128	59.76	-0.8199463
266	STCEX	Oct 20, 2017	10.7	Jul 24, 2017	10.37	3.1822586	10.65	0.46948242
267	FSAGX	Oct 20, 2017	20.74	Jul 24, 2017	20.1	3.184082	21.55	-3.7586975	*P*
268	VEVRX	Oct 20, 2017	40.06	Jul 24, 2017	38.82	3.1942368	39.73	0.8306122	*BT**P*
