182	FSCRX	Oct 13, 2017	31.97	Jul 17, 2017	31.33	2.0427704	31.88	0.2823105
183	FJIFX	Oct 13, 2017	13.45	Jul 17, 2017	13.18	2.0485535	13.4	0.37313843
184	VWAHX	Oct 13, 2017	11.42	Jul 17, 2017	11.19	2.0554047	11.38	0.3514862
185	BULIX	Oct 13, 2017	18.32	Jul 17, 2017	17.95	2.0612717	18.4	-0.43478394
186	KRE	Oct 13, 2017	55.98	Jul 17, 2017	54.84	2.0787735	56.91	-1.6341629
187	FSNGX	Oct 13, 2017	23.88	Jul 17, 2017	23.39	2.0949097	24.11	-0.95396423
188	VWNFX	Oct 13, 2017	38.6	Jul 17, 2017	37.8	2.1164093	38.71	-0.28416443
189	PFBDX	Oct 13, 2017	10.03	Jul 17, 2017	9.82	2.1384964	9.96	0.7028122
190	FTANX	Oct 13, 2017	11.18	Jul 17, 2017	10.94	2.1937943	11.12	0.53957367
191	FSHNX	Oct 13, 2017	9.76	Jul 17, 2017	9.55	2.1989594	9.77	-0.10235596
192	POGSX	Oct 13, 2017	63.71	Jul 17, 2017	62.32	2.2304153	63.71	0.0
193	FDVLX	Oct 13, 2017	122.12	Jul 17, 2017	119.45	2.2352448	122.47	-0.28578186
194	PRULX	Oct 13, 2017	12.72	Jul 17, 2017	12.44	2.2508163	12.51	1.6786575
195	FIRQX	Oct 13, 2017	56.97	Jul 17, 2017	55.71	2.2617188	56.7	0.4761963
196	FVLKX	Oct 13, 2017	122.31	Jul 17, 2017	119.6	2.2658844	122.65	-0.27721405
197	VNQ	Oct 13, 2017	84.79	Jul 17, 2017	82.9	2.2798538	83.3	1.7887115
198	RFV	Oct 13, 2017	65.03	Jul 17, 2017	63.58	2.2805786	65.19	-0.24543762
199	FIRRX	Oct 13, 2017	53.39	Jul 17, 2017	52.19	2.2992935	53.14	0.47045898
200	FSMVX	Oct 13, 2017	27.03	Jul 17, 2017	26.42	2.3088608	27.07	-0.14775848
201	FFIVX	Oct 13, 2017	12.38	Jul 17, 2017	12.1	2.3140411	12.33	0.40551758	*BT*
202	YACKX	Oct 13, 2017	23.86	Jul 17, 2017	23.32	2.3156128	23.72	0.5902252
203	VUSTX	Oct 13, 2017	12.32	Jul 17, 2017	12.04	2.3255844	12.11	1.7341003
204	FFFVX	Oct 13, 2017	12.72	Jul 17, 2017	12.43	2.3330688	12.66	0.473938
205	IGOV	Oct 13, 2017	49.42	48.35 41,800 Jul	48.29	2.3400192	48.71	1.4576111
206	FSDIX	Oct 13, 2017	15.68	Jul 17, 2017	15.32	2.3498764	15.57	0.7064972
207	FFANX	Oct 13, 2017	11.73	Jul 17, 2017	11.46	2.356018	11.67	0.51413727
208	FSTCX	Oct 13, 2017	67.94	Jul 17, 2017	66.36	2.3809586	69.54	-2.3008347
209	FEIKX	Oct 13, 2017	60.86	Jul 17, 2017	59.44	2.3889694	60.9	-0.06568146
210	ROOF	Oct 13, 2017	27.7	Jul 17, 2017	27.05	2.4029617	27.36	1.2426834
211	FEQIX	Oct 13, 2017	60.9	Jul 17, 2017	59.47	2.4045715	60.94	-0.06562805
212	FLBAX	Oct 13, 2017	13.2	Jul 17, 2017	12.89	2.4049606	12.97	1.773323
213	FKIFX	Oct 13, 2017	14.32	Jul 17, 2017	13.98	2.432045	14.26	0.42074585
214	MERKX	Oct 13, 2017	10.08	Jul 17, 2017	9.84	2.4390259	10.0	0.80000305
215	FGIKX	Oct 13, 2017	35.95	Jul 17, 2017	35.09	2.4508514	36.1	-0.41550446
216	FGRIX	Oct 13, 2017	35.99	Jul 17, 2017	35.12	2.4772263	36.14	-0.4150467
217	FRESX	Oct 13, 2017	42.77	Jul 17, 2017	41.73	2.4922104	42.09	1.6155853
218	GASFX	Oct 13, 2017	30.32	Jul 17, 2017	29.58	2.5016937	30.16	0.5305023
219	RWX	Oct 13, 2017	38.78	Jul 17, 2017	37.83	2.5112305	38.15	1.6513672
220	FIRSX	Oct 13, 2017	54.05	Jul 17, 2017	52.7	2.5616608	53.79	0.4833603
221	FLSAX	Oct 13, 2017	44.18	Jul 17, 2017	43.06	2.6010132	44.5	-0.71910095
222	FCIFX	Oct 13, 2017	12.91	Jul 17, 2017	12.58	2.6232147	12.86	0.38880157	*BT*
223	VWINX	Oct 13, 2017	26.89	Jul 17, 2017	26.2	2.633583	26.74	0.56095123
224	FMEIX	Oct 13, 2017	15.57	Jul 17, 2017	15.17	2.6367798	15.58	-0.064186096
225	GVPIX	Oct 13, 2017	55.14	Jul 17, 2017	53.72	2.6433334	53.81	2.4716644
226	FFFCX	Oct 13, 2017	16.3	Jul 17, 2017	15.88	2.6448212	16.23	0.4312973
227	FIUIX	Oct 13, 2017	26.71	Jul 17, 2017	26.02	2.651802	26.83	-0.447258
228	FSPHX	Oct 13, 2017	232.34	Jul 17, 2017	226.33	2.6554108	235.15	-1.1949844
229	VBLTX	Oct 13, 2017	14.27	Jul 17, 2017	13.9	2.6618729	14.1	1.2056732
230	FIRUX	Oct 13, 2017	58.7	Jul 17, 2017	57.16	2.694191	58.42	0.47929382
231	RYGBX	Oct 13, 2017	53.32	Jul 17, 2017	51.91	2.71624	52.07	2.4006119
232	FNJHX	Oct 13, 2017	11.94	Jul 17, 2017	11.62	2.753868	11.9	0.33613586
233	FASMX	Oct 13, 2017	18.48	Jul 17, 2017	17.98	2.7808685	18.38	0.5440674
234	FNMIX	Oct 13, 2017	16.5	Jul 17, 2017	16.05	2.8037415	16.45	0.30394745
235	FSLSX	Oct 13, 2017	43.5	Jul 17, 2017	42.31	2.8125763	43.57	-0.16065979
236	FLIFX	Oct 13, 2017	14.95	Jul 17, 2017	14.54	2.819809	14.88	0.47042084
237	JPC	Oct 13, 2017	10.56	Jul 17, 2017	10.27	2.823761	10.48	0.7633667
238	PAUDX	Oct 13, 2017	9.02	Jul 17, 2017	8.77	2.8506317	8.91	1.234581
239	FVSKX	Oct 13, 2017	43.5	Jul 17, 2017	42.29	2.8611908	43.56	-0.13774872
240	FIRVX	Oct 13, 2017	52.32	Jul 17, 2017	50.85	2.8908615	52.05	0.51873016
241	VWESX	Oct 13, 2017	10.66	Jul 17, 2017	10.36	2.8957596	10.55	1.0426483
242	OWSMX	Oct 13, 2017	17.53	Jul 17, 2017	17.03	2.935997	17.45	0.45845795
243	REACX	Oct 13, 2017	29.42	Jul 17, 2017	28.58	2.9391174	28.9	1.7993088
244	FCPEX	Oct 13, 2017	14.56	Jul 17, 2017	14.14	2.9702988	14.6	-0.27397156
245	FSLEX	Oct 13, 2017	25.98	Jul 17, 2017	25.23	2.9726486	25.86	0.46403503
246	FFVIX	Oct 13, 2017	13.14	Jul 17, 2017	12.76	2.9780655	13.08	0.45871735	*BT*
247	STCEX	Oct 13, 2017	10.65	Jul 17, 2017	10.34	2.9980621	10.75	-0.9302368
248	FWRLX	Oct 13, 2017	9.94	Jul 17, 2017	9.65	3.0051804	9.92	0.20160675	*P*
249	FSRBX	Oct 13, 2017	33.85	Jul 17, 2017	32.86	3.0127792	34.37	-1.5129471
250	VO	Oct 13, 2017	148.87	Jul 17, 2017	144.49	3.0313492	148.58	0.1951828
251	VIMSX	Oct 13, 2017	40.64	Jul 17, 2017	39.44	3.0426025	40.57	0.17254639
252	FFVFX	Oct 13, 2017	13.54	Jul 17, 2017	13.14	3.0441437	13.47	0.5196686
253	FIRWX	Oct 13, 2017	58.85	Jul 17, 2017	57.11	3.046753	58.56	0.49521637
254	FEDCX	Oct 13, 2017	10.47	Jul 17, 2017	10.16	3.0511856	10.46	0.09560394
255	FIXRX	Oct 13, 2017	53.92	Jul 17, 2017	52.32	3.0580978	53.65	0.5032501
256	MNBAX	Oct 13, 2017	18.27	Jul 17, 2017	17.72	3.1038437	18.19	0.43979645
257	VEVRX	Oct 13, 2017	39.73	Jul 17, 2017	38.53	3.1144638	39.77	-0.10058594	*BT**P*
258	PASDX	Oct 13, 2017	12.17	Jul 17, 2017	11.8	3.1355972	12.04	1.0797348
259	VICEX	Oct 13, 2017	30.88	Jul 17, 2017	29.94	3.1396027	30.78	0.3248825
260	FPIFX	Oct 13, 2017	15.69	Jul 17, 2017	15.21	3.1558151	15.61	0.5124893
261	FDIFX	Oct 13, 2017	14.18	Jul 17, 2017	13.74	3.2023315	14.12	0.4249344	*BT*
262	PARWX	Oct 13, 2017	37.87	Jul 17, 2017	36.68	3.2442703	37.99	-0.31587982
263	WIP	Oct 13, 2017	57.49	Jul 17, 2017	55.68	3.2507172	56.74	1.3218155
264	VIG	Oct 13, 2017	96.03	Jul 17, 2017	93.0	3.2580643	95.68	0.36580658
265	FEQTX	Oct 13, 2017	28.83	Jul 17, 2017	27.92	3.2593155	28.84	-0.0346756
266	FFFDX	Oct 13, 2017	16.67	Jul 17, 2017	16.14	3.2837753	16.58	0.54281616
267	VWNDX	Oct 13, 2017	23.26	Jul 17, 2017	22.52	3.285965	23.32	-0.25728607
268	RSP	Oct 13, 2017	96.54	Jul 17, 2017	93.46	3.2955322	96.49	0.051818848
269	FQIFX	Oct 13, 2017	16.63	Jul 17, 2017	16.09	3.3561096	16.55	0.48338318
