202	FFFVX	Oct 27, 2017	12.69	Jul 31, 2017	12.49	1.6012802	12.7	-0.07874298
203	FFIVX	Oct 27, 2017	12.36	Jul 31, 2017	12.16	1.6447296	12.36	0.0	*BT*
204	FJIFX	Oct 27, 2017	13.45	Jul 31, 2017	13.23	1.6628876	13.45	0.0
205	FFSTX	Sep 06, 2017	17.44	Jun 07, 2017	17.15	1.6909714	17.44	0.0
206	FIRQX	Oct 27, 2017	56.87	Jul 31, 2017	55.92	1.6988525	56.89	-0.03515625
207	FSLSX	Oct 27, 2017	43.53	Jul 31, 2017	42.8	1.7056122	43.74	-0.4801178
208	FIRRX	Oct 27, 2017	53.31	Jul 31, 2017	52.4	1.7366409	53.33	-0.037506104
209	FCSFX	Sep 06, 2017	5.23	Jun 07, 2017	5.14	1.7509689	5.23	0.0
210	FVSKX	Oct 27, 2017	43.53	Jul 31, 2017	42.78	1.7531509	43.74	-0.4801178
211	FNORX	Oct 27, 2017	53.92	Jul 31, 2017	52.99	1.7550507	53.88	0.07423401	*P*
212	FNJHX	Oct 27, 2017	11.9	Jul 31, 2017	11.69	1.7964096	11.95	-0.41841125
213	VNQI	Oct 27, 2017	59.44	Jul 31, 2017	58.38	1.8156891	60.16	-1.1968079	*P*
214	YACKX	Oct 27, 2017	24.0	Jul 31, 2017	23.57	1.8243561	23.97	0.12516022
215	FNARX	Oct 27, 2017	27.31	Jul 31, 2017	26.82	1.8269882	27.42	-0.40116882
216	ICENX	Oct 27, 2017	12.16	Jul 31, 2017	11.94	1.8425446	12.15	0.08230591
217	DODFX	Oct 27, 2017	46.4	Jul 31, 2017	45.54	1.8884506	46.83	-0.9182129
218	SWHFX	Oct 27, 2017	25.67	Jul 31, 2017	25.19	1.90551	26.41	-2.8019638
219	FCSSX	Oct 27, 2017	5.32	Jul 31, 2017	5.22	1.9157181	5.28	0.757576
220	FFFCX	Oct 27, 2017	16.28	Jul 31, 2017	15.97	1.9411469	16.29	-0.06138611
221	FSHCX	Oct 27, 2017	93.04	Jul 31, 2017	91.26	1.95047	92.42	0.67085266
222	FEDCX	Oct 27, 2017	10.43	Jul 31, 2017	10.23	1.9550476	10.46	-0.2868042
223	FCIFX	Oct 27, 2017	12.9	Jul 31, 2017	12.65	1.9762878	12.9	0.0	*BT*
